2025,甘肃省“陇原人才”,王雪莲,,,
2020,甘肃省优秀学位论文,王雪莲,,,
2020,兰州大学优秀学位论文,王雪莲,,,
2019,一种针对植物化石角质层提取的前处理方法,"熊聪慧, 王雪莲",发明专利,已发表,ZL 2019 1 1098744.0 
